Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?
Shooting,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Shooting,,No
Camera Confidence,Yes,,"Joden, Aydan",Finding Examples,Aydan,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,5,Medium,No,Shooting,"Joden, Aydan",No
Producing a Podcast for Clips,Yes,,Aydan,Finding Examples,Aydan,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,4,Medium,No,Shooting,Aydan,No
Setting up a Studio Space,No,affiliate links,"Joden, Aydan",Not started,Joden,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,4,Medium,No,Shooting,Joden,No
Videography Pro,No,affiliate links,Joden,Not started,Joden,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,3,Medium,No,Shooting,Joden,No
Solo Phone Shooter,Yes,affiliate links,Aydan,Finding Examples,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,6,High,No,Shooting,Aydan,No
Theory Advanced,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Theory Advanced,,No
“The Founders Paradox”,No,,,Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,,No
Handling a Comment Section,Yes,,"Joden, Aydan",Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No
The Importance of Lo-Fi,Yes,,"Aydan, Tia Warner",Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,4,Medium,No,Theory Advanced,"Joden, Aydan",No
Intro: Founder Specific,No,,,Writing Script/Theory,"Tia Warner, Alex O'Connor","F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,"Joden, Alex O'Connor",No
Script Mastery: Optimising for Engagement,Yes,,"Tia Warner, Joden",Finding Examples,Tia Warner,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,4,Medium,No,Theory Advanced,Joden,No
Advanced Engagement Metrics,Yes,,"Aydan, Joden",Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,Joden,No
02 Authority and Brand Holism through Short Form Content,Yes,,"Tia Warner, Aydan",Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No
Data-Led Iteration,Yes,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,Joden,No
Complex Formats & Remixing,Yes,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,Joden,No
